"Titolo","Rivista","Data"
"[A simulation-based procedure to estimate base rates from Covid-19 antibody test results I: Deterministic test reliabilities](https://doi.org/10.1101/2020.04.28.20075036)","medRxiv","2020-05-05"
"[Analysis of hospitalized COVID-19 patients in the Mount Sinai Health System using electronic medical records (EMR) reveals important prognostic factors for improved clinical outcomes](https://doi.org/10.1101/2020.04.28.20075788)","medRxiv","2020-05-05"
"[Balancing revenue generation with capacity generation: Case distribution, financial impact and hospital capacity changes from cancelling or resuming elective surgeries in the US during COVID-19](https://doi.org/10.1101/2020.04.29.20066506)","medRxiv","2020-05-05"
"[COVID-19 Pandemic Initial Case-Fatality Risk](https://doi.org/10.21203/rs.3.rs-22327/v1)","Research Square","2020-05-05"
"[COVID-19 Pandemic Response Simulation: Impact of Non-pharmaceutical Interventions on Ending Lockdowns](https://doi.org/10.1101/2020.04.28.20080838)","medRxiv","2020-05-05"
"[COVID-19 in-patient hospital mortality by ethnicity](https://doi.org/10.12688/wellcomeopenres.15913.1)","Wellcome Open Res","2020-05-05"
"[COVID-19 is a risk factor for severe liver damage for patients with intrahepatic cholestasis of pregnancy: a case report](https://doi.org/10.21203/rs.3.rs-26348/v1)","Research Square","2020-05-05"
"[COVID-19 testing capabilities at urgent care centers in states with greatest disease burden](https://doi.org/10.12688/f1000research.23203.1)","F1000Res","2020-05-05"
"[Chest CT For Early Detection And Management Of Coronavirus Disease (COVID-19): A Report Of 314 Patients Admitted To Emergency Department With Suspected Pneumonia](https://doi.org/10.21203/rs.3.rs-26314/v1)","Research Square","2020-05-05"
"[Comparison between CT and RT-PCR in a cohort of symptomatic patients with suspected COVID-19 pneumonia during the outbreak peak in Italy](https://doi.org/10.21203/rs.3.rs-26275/v1)","Research Square","2020-05-05"
"[Dynamics of the COVID-19 pandemic in India](https://doi.org/10.21203/rs.3.rs-27112/v1)","Research Square","2020-05-05"
"[Effect of Hypertension on Outcomes of Adult Inpatients with COVID-19 in Wuhan, China: A Propensity Score–matching Analysis](https://doi.org/10.21203/rs.3.rs-25605/v1)","Research Square","2020-05-05"
"[Effects of Region, Epidemic Stage, and Demographic Characteristics on Sleep Quality and Mental Disturbances among Health Care Workers during COVID-19 Outbreak](https://doi.org/10.21203/rs.3.rs-23260/v1)","Research Square","2020-05-05"
"[Evaluation of Turkish social distancing measures on the spread of COVID-19](https://doi.org/10.1101/2020.04.28.20083550)","medRxiv","2020-05-05"
"[Excess Mortality from COVID-19: Lessons Learned from the Italian Experience](https://doi.org/10.20944/preprints202004.0065.v2)","Preprints.org","2020-05-08"
"[Impact of the COVID-19 pandemic on orthopedic surgical practice: international study](https://doi.org/10.21203/rs.3.rs-26258/v1)","Research Square","2020-05-05"
"[Infection-Genomics of COVID-19: Are Some Communities Resistant?](https://doi.org/10.20944/preprints202004.0310.v2)","Preprints.org","2020-05-08"
"[Mathematical Modeling to Estimate the Reproductive Number and the Outbreak Size of COVID-19: The case of India and the World](https://doi.org/10.21203/rs.3.rs-26261/v1)","Research Square","2020-05-05"
"[Mathematical study for the phase-based transmissibility of a novel COVID-19 Coronavirus](https://doi.org/10.21203/rs.3.rs-26318/v1)","Research Square","2020-05-05"
"[Missense variants in ACE2 are predicted to encourage and inhibit interaction with SARS-CoV-2 Spike and contribute to genetic risk in COVID-19](https://doi.org/10.1101/2020.05.03.074781)","bioRxiv","2020-05-06"
"[Negative impact of hyperglycemia on Tocilizumab therapy in COVID-19 patients](https://doi.org/10.1101/2020.04.29.20076570)","medRxiv","2020-05-05"
"[Periodic COVID-19 Testing in Emergency Department Staff](https://doi.org/10.1101/2020.04.28.20084053)","medRxiv","2020-05-05"
"[Population vulnerability to COVID-19 in Europe: a burden of disease analysis](https://doi.org/10.1101/2020.04.29.20064279)","medRxiv","2020-05-05"
"[Predicted impact of the COVID-19 pandemic on global tuberculosis deaths in 2020](https://doi.org/10.1101/2020.04.28.20079582)","medRxiv","2020-05-05"
"[Preliminary evidence from a multicenter prospective observational study of the safety and efficacy of chloroquine for the treatment of COVID-19](https://doi.org/10.1101/2020.04.26.20081059)","medRxiv","2020-05-05"
"[Preventive Strategies for Management of COVID-19 Using Natural Molecules](https://doi.org/10.21203/rs.3.rs-24587/v1)","Research Square","2020-05-05"
"[Revisiting early-stage COVID-19 strategy options](https://doi.org/10.12688/f1000research.23524.1)","F1000Res","2020-05-05"
"[Structure of anxiety associated with the COVID-19 pandemic in the Russian-speaking sample: results from on-line survey](https://doi.org/10.1101/2020.04.28.20074302)","medRxiv","2020-05-06"
"[The Dangers of Acute Kidney Injury in COVID-19 Patients: A Meta-Analysis of First Reports](https://doi.org/10.1101/2020.04.29.20079038)","medRxiv","2020-05-05"
"[Tripartite combination of potential pandemic mitigation agents: Vitamin D, Quercetin, and Estradiol manifest properties of candidate medicinal agents for mitigation of the severity of pandemic COVID-19 defined by genomics-guided tracing of SARS-CoV-2 targets in human cells.](https://doi.org/10.26434/chemrxiv.12052512.v8)","ChemRxiv","2020-05-05"
"[What We Do Not Know about COVID-19](https://doi.org/10.20944/preprints202005.0045.v1)","Preprints.org","2020-05-05"
"[A Deep Learning Framework for Coronavirus Disease (COVID-19) Detection in X-Ray Images](https://doi.org/10.21203/rs.3.rs-26500/v1)","Research Square","2020-05-06"
"[A Method to Identify the Missing COVID-19 Cases in the U.S. and Results for mid-April 2020](https://doi.org/10.1101/2020.04.28.20083782)","medRxiv","2020-05-06"
"[A Novel RP-HPLC-DAD Method Development for Anti-Malarial and COVID-19 Hydroxy Chloroquine Sulfate Tablets and Profiling of In-Vitro Dissolution in Multimedia.](https://doi.org/10.21203/rs.3.pex-880/v2)","Research Square","2020-05-06"
"[A Simple Early Warning Signal for COVID-19](https://doi.org/10.1101/2020.04.28.20083261)","medRxiv","2020-05-06"
"[A Simple Method for Estimating the Number of Unconfirmed COVID-19 Cases in a Local Area that Includes a Confidence Interval: A Case Study of Whatcom County, Washington](https://doi.org/10.1101/2020.04.30.20086181)","medRxiv","2020-05-07"
"[A Susceptible-Infected-Removed (SIR) model of COVID-19 epidemic trend in Malaysia under Movement Control Order (MCO) using a data fitting approach](https://doi.org/10.1101/2020.05.01.20084384)","medRxiv","2020-05-06"
"[A model showing the relative risk of viral aerosol infection from breathing and the benefit of wearing masks in different settings with implications for Covid-19 .](https://doi.org/10.1101/2020.04.28.20082990)","medRxiv","2020-05-06"
"[A model to estimate demand for personal protective equipment for Ontario acute care hospitals during the COVID-19 pandemic](https://doi.org/10.1101/2020.04.29.20085142)","medRxiv","2020-05-06"
"[A novel deterministic forecast model for COVID-19 epidemic based on a single ordinary integro-differential equation](https://doi.org/10.1101/2020.04.29.20084376)","medRxiv","2020-05-06"
"[AN INTERACTIVE COVID-19 MOBILITY IMPACT AND SOCIAL DISTANCING ANALYSIS PLATFORM](https://doi.org/10.1101/2020.04.29.20085472)","medRxiv","2020-05-07"
"[Accurate Classification of COVID-19 Based on Incomplete Heterogeneous Data using a KNN Variant Algorithm](https://doi.org/10.21203/rs.3.rs-27186/v1)","Research Square","2020-05-06"
"[Active-site Molecular docking of Nigellidine to nucleocapsid/Nsp2/Nsp3/MPro of COVID-19  and to human IL1R and TNFR1/2 may stop viral-growth/cytokine-flood, and the drug source Nigella sativa (black cumin) seeds show potent antioxidant role in experimental rats.](https://doi.org/10.21203/rs.3.rs-26464/v1)","Research Square","2020-05-06"
"[Anosmia, a Hidden Sign for COVID-19? A Case Report and Literature Review](https://doi.org/10.21203/rs.3.rs-27117/v1)","Research Square","2020-05-06"
"[Are COVID-19 infected children with gastrointestinal symptoms different from those without symptoms? A comparative study of the clinical characteristics and epidemiological trend of 244 pediatric cases from Wuhan](https://doi.org/10.1101/2020.04.29.20084244)","medRxiv","2020-05-06"
"[Associations between psychiatric disorders, COVID-19 testing probability and COVID-19 testing results: Findings from a population-based study](https://doi.org/10.1101/2020.04.30.20083881)","medRxiv","2020-05-06"
"[BRAZIL IS PROJECTED TO BE THE NEXT GLOBAL COVID-19 PANDEMIC EPICENTER](https://doi.org/10.1101/2020.04.28.20083675)","medRxiv","2020-05-06"
"[Battling the COVID-19 Pandemic: Is Bangladesh Prepared?](https://doi.org/10.1101/2020.04.29.20084236)","medRxiv","2020-05-06"
"[Beyond Deaths per Capita: Three CoViD-19 Mortality Indicators for Temporal and International Comparisons](https://doi.org/10.1101/2020.04.29.20085506)","medRxiv","2020-05-15"
"[COVID-19 Virus Infection and Transmission are Observably Less in Highly Dengue-endemic Countries: Can Dengue Vaccines be “Repurposed” to Prevent COVID-19?](https://doi.org/10.20944/preprints202004.0040.v3)","Preprints.org","2020-05-08"
"[COVID-19 herd immunity strategies: walking an elusive and dangerous tightrope](https://doi.org/10.1101/2020.04.29.20082065)","medRxiv","2020-05-06"
"[COVID-19 in Stock Markets: A Complexity Perspective](https://doi.org/10.20944/preprints202005.0056.v1)","Preprints.org","2020-05-08"
"[COVID-19 in breast cancer patients: a cohort at the Institut Curie hospitals in the Paris area](https://doi.org/10.1101/2020.04.30.20085928)","medRxiv","2020-05-07"
"[COVID-19 length of hospital stay: a systematic review and data synthesis](https://doi.org/10.1101/2020.04.30.20084780)","medRxiv","2020-05-06"
"[COVID-19, smoking, and inequalities: a cross-sectional survey of adults in the UK](https://doi.org/10.1101/2020.04.30.20086074)","medRxiv","2020-05-08"
"[COVID-19: How to Relax Social Distancing If You Must](https://doi.org/10.1101/2020.04.29.20085134)","medRxiv","2020-05-06"
"[COVID-19: Multiple Diseases Simulating Extreme High-Altitude Exposure? Oxygen Transport Physiology and Scarce Need of Ventilators; Andean Condor’s-Eye-View](https://doi.org/10.20944/preprints202005.0085.v1)","Preprints.org","2020-05-08"
"[COVID-19: Simultaneous Surveillance Studies and Case Series, Jordan as a Case Study](https://doi.org/10.20944/preprints202005.0071.v1)","Preprints.org","2020-05-08"
"[Catalysis-in-a-Box: Robotic Screening of Catalytic Materials in the Time of COVID-19](https://doi.org/10.26434/chemrxiv.11288885.v2)","ChemRxiv","2020-05-06"
"[Characteristics of lymphocyte subsets and their predicting values for the severity of COVID-19 patients](https://doi.org/10.1101/2020.05.01.20086421)","medRxiv","2020-05-07"
"[Clinical and Genetic Characteristics of Covid-19 Patients from UK Biobank](https://doi.org/10.1101/2020.05.05.20075507)","medRxiv","2020-05-07"
"[Clinical characteristics and risk factors of patients with severe COVID-19 in Jiangsu province, China](https://doi.org/10.21203/rs.3.rs-23940/v1)","Research Square","2020-05-06"
"[Continued and Serious Lockdown Could Minimize Many Newly Transmitted Cases of COVID-19 in the U.S.: Wavelets, Deterministic Models, and Data](https://doi.org/10.1101/2020.04.30.20080978)","medRxiv","2020-05-06"
"[Cross-talk between the airway epithelium and activated immune cells defines severity in COVID-19](https://doi.org/10.1101/2020.04.29.20084327)","medRxiv","2020-05-06"
"[Describing the COVID-19 Outbreak - Fitting Modified SIR models to Data](https://doi.org/10.1101/2020.04.29.20084285)","medRxiv","2020-05-06"
"[Disruption of the CCL5/RANTES-CCR5 Pathway Restores Immune Homeostasis and Reduces Plasma Viral Load in Critical COVID-19](https://doi.org/10.1101/2020.05.02.20084673)","medRxiv","2020-05-06"
"[Disruption of the CCL5/RANTES-CCR5 Pathway Restores Immune Homeostasis and Reduces Plasma Viral Load in Critical COVID-19](https://doi.org/10.21203/rs.3.rs-26517/v1)","Research Square","2020-05-06"
"[Distinguishing between COVID-19 and the common cold in a primary care setting - comparison of patients with positive and negative SARS-CoV-2 PCR results.](https://doi.org/10.1101/2020.04.27.20081877)","medRxiv","2020-05-06"
"[Does weather affect the growth rate of COVID-19, a study to comprehend transmission dynamics on human health](https://doi.org/10.1101/2020.04.29.20085795)","medRxiv","2020-05-07"
"[Early Short Course Corticosteroids in Hospitalized Patients with COVID-19](https://doi.org/10.1101/2020.05.04.20074609)","medRxiv","2020-05-06"
"[Early transmission dynamics and control of COVID-19 in a southern hemisphere setting: Lima-Peru, February 29th-March 30th, 2020 .](https://doi.org/10.1101/2020.04.30.20077594)","medRxiv","2020-05-06"
"[Elevated D-Dimer Levels are Associated with Increased Risk of Mortality in COVID-19: A Systematic Review and Meta-Analysis](https://doi.org/10.1101/2020.04.29.20085407)","medRxiv","2020-05-07"
"[Epidemic Models for Personalised COVID-19 Isolation and Exit Policies Using Clinical Risk Predictions](https://doi.org/10.1101/2020.04.29.20084707)","medRxiv","2020-05-06"
"[Estimation of the basic reproduction number, average incubation time, asymptomatic infection rate, and case fatality rate for COVID-19: Meta-analysis and sensitivity analysis](https://doi.org/10.1101/2020.04.28.20083758)","medRxiv","2020-05-06"
"[Evaluation of effects of public health interventions on COVID-19 transmission for Pakistan: A mathematical simulation study](https://doi.org/10.1101/2020.04.30.20086447)","medRxiv","2020-05-07"
"[Favorable outcomes of elderly COVID-19 patients in Guangzhou, China: a retrospective, observational study](https://doi.org/10.21203/rs.3.rs-26511/v1)","Research Square","2020-05-06"
"[Fighting the SARS CoV-2 (COVID-19) Pandemic with Soap](https://doi.org/10.20944/preprints202005.0060.v1)","Preprints.org","2020-05-08"
"[Flawed methods in “COVID-19: Attacks the 1-Beta Chain of Hemoglobin and Captures the Porphyrin to Inhibit Human Heme Metabolism”](https://doi.org/10.26434/chemrxiv.12120912.v2)","ChemRxiv","2020-05-06"
"[Geospatial Correlation Between COVID-19 Health Misinformation on Social Media and Poisoning with Household Cleaners](https://doi.org/10.1101/2020.04.30.20079657)","medRxiv","2020-05-06"
"[Global prediction of unreported SARS-CoV2 infection from observed COVID-19 cases](https://doi.org/10.1101/2020.04.29.20083485)","medRxiv","2020-05-06"
"[Higher virulence of COVID-19 in the air-polluted regions of eight severely affected countries](https://doi.org/10.1101/2020.04.30.20086496)","medRxiv","2020-05-07"
"[Hindsight is 2020 vision: Characterisation of the global response to the COVID-19 pandemic](https://doi.org/10.1101/2020.04.30.20085662)","medRxiv","2020-05-07"
"[How many lives can be saved? A global view on the impact of testing, herd immunity and demographics on COVID-19 fatality rates](https://doi.org/10.1101/2020.04.29.20084400)","medRxiv","2020-05-06"
"[Identification of Candidate COVID-19 Therapeutics using hPSC-derived Lung Organoids](https://doi.org/10.1101/2020.05.05.079095)","bioRxiv","2020-05-07"
"[Immunosuppression is associated with a lower risk of moderate to severe acute respiratory distress syndrome in COVID-19.](https://doi.org/10.21203/rs.3.rs-27095/v1)","Research Square","2020-05-06"
"[Incidence of COVID-19 in a cohort of adult and paediatric patients with rheumatic diseases treated with targeted biologic and synthetic disease-modifying anti-rheumatic drugs](https://doi.org/10.1101/2020.04.30.20086090)","medRxiv","2020-05-07"
"[Lysosomotropic Active Compounds—Hidden Protection against COVID-19 / SARS-CoV-2 Infection?](https://doi.org/10.20944/preprints202005.0061.v1)","Preprints.org","2020-05-08"
"[Mapping the Spread of COVID-19 Outbreak in India](https://doi.org/10.20944/preprints202005.0051.v1)","Preprints.org","2020-05-08"
"[Mathematical Model with Social Distancing Parameter for Early Estimation of COVID-19 Spread](https://doi.org/10.1101/2020.04.30.20086611)","medRxiv","2020-05-07"
"[Mathematical model describing CoViD-19 in São Paulo State, Brazil - Evaluating isolation as control mechanism and forecasting epidemiological scenarios of release](https://doi.org/10.1101/2020.04.29.20084830)","medRxiv","2020-05-06"
"[Modeling COVID-19 on a network: super-spreaders, testing and containment](https://doi.org/10.1101/2020.04.30.20081828)","medRxiv","2020-05-06"
"[Modeling and predicting the spread of COVID-19 in Lebanon: A Bayesian perspective](https://doi.org/10.1101/2020.04.29.20082263)","medRxiv","2020-05-06"
"[Modeling the COVID-19 outbreak in the United States](https://doi.org/10.1101/2020.04.30.20086884)","medRxiv","2020-05-07"
"[Modelling and simulation of COVID-19 propagation in a large population with specific reference to India](https://doi.org/10.1101/2020.04.30.20086306)","medRxiv","2020-05-07"
"[Neutrophil extracellular traps and thrombosis in COVID-19](https://doi.org/10.1101/2020.04.30.20086736)","medRxiv","2020-05-07"
"[News from the front: Estimation of excess mortality and life expectancy in the major epicenters of the COVID-19 pandemic in Italy](https://doi.org/10.1101/2020.04.29.20084335)","medRxiv","2020-05-06"
"[On the predictability of COVID-19 in USA: A Google Trends analysis](https://doi.org/10.21203/rs.3.rs-27189/v1)","Research Square","2020-05-06"
"[Patient-Led COVID-19 Triage Systems and Case Fatality Rates: A Comparative Study Between Singapore, Japan, Norway, the USA and the UK.](https://doi.org/10.1101/2020.04.28.20084079)","medRxiv","2020-05-06"
"[Paucity and disparity of publicly available sex-disaggregated data for the COVID-19 epidemic hamper evidence-based decision-making](https://doi.org/10.1101/2020.04.29.20083709)","medRxiv","2020-05-06"
"[Perspectives of Cancer Patients and Their Health during the COVID-19 Pandemic](https://doi.org/10.1101/2020.04.30.20086652)","medRxiv","2020-05-07"
"[Potential of natural astaxanthin in alleviating the risk of cytokine storm and improve health in COVID-19: A scoping review](https://doi.org/10.21203/rs.3.rs-26458/v1)","Research Square","2020-05-06"
"[Pre-Existing Traits Associated with Covid-19 Illness Severity](https://doi.org/10.1101/2020.04.29.20084533)","medRxiv","2020-05-06"
"[Profiling COVID-19 pneumonia progressing into the cytokine storm syndrome: results from a single Italian Centre study on tocilizumab versus standard of care.](https://doi.org/10.1101/2020.05.01.20078360)","medRxiv","2020-05-06"
"[Public knowledge, attitudes and practices towards COVID-19: A cross-sectional study in Malaysia](https://doi.org/10.1101/2020.04.29.20085563)","medRxiv","2020-05-06"
"[Quantifying and mitigating the impact of the COVID-19 pandemic on outcomes in colorectal cancer](https://doi.org/10.1101/2020.04.28.20083170)","medRxiv","2020-05-06"
"[RSI model: COVID-19 in Germany Alternating quarantine episodes and normal episodes](https://doi.org/10.1101/2020.05.01.20075754)","medRxiv","2020-05-06"
"[Radiological and clinical characteristics of 22 suspected COVID-19 patients with multiple negative RT-PCR testing](https://doi.org/10.21203/rs.3.rs-27135/v1)","Research Square","2020-05-06"
"[Rapid development of COVID-19 rapid diagnostics for low resource settings: accelerating delivery through transparency, responsiveness, and open collaboration](https://doi.org/10.1101/2020.04.29.20082099)","medRxiv","2020-05-06"
"[Risk Factors and clinical features of deterioration of COVID-19 Patients in Zhejiang, China: a single-centered, retrospective study](https://doi.org/10.21203/rs.3.rs-22481/v1)","Research Square","2020-05-06"
"[Risk Factors of the Severity of COVID-19: a Meta-Analysis](https://doi.org/10.1101/2020.04.30.20086744)","medRxiv","2020-05-07"
"[Risk of COVID-19 among frontline healthcare workers and the general community: a prospective cohort study](https://doi.org/10.1101/2020.04.29.20084111)","medRxiv","2020-05-06"
"[Social Media Platforms for Health Communication and Research in the Face of COVID-19 Pandemic: A Cross Sectional Survey in Uganda.](https://doi.org/10.1101/2020.04.30.20086553)","medRxiv","2020-05-07"
"[Social-Group-Optimization Assisted Kapur’s Entropy and Morphological Segmentation for Automated Detection of COVID-19 Infection from Computed Tomography Images](https://doi.org/10.20944/preprints202005.0052.v1)","Preprints.org","2020-05-08"
"[TEG Max Clot Strength is Consistently Elevated and May Be Predictive of COVID-19 Status at the Time of ICU Admission](https://doi.org/10.1101/2020.04.30.20076703)","medRxiv","2020-05-06"
"[TRACKING AND PREDICTING COVID-19 RADIOLOGICAL TRAJECTORY USING DEEP LEARNING ON CHEST X-RAYS: INITIAL ACCURACY TESTING](https://doi.org/10.1101/2020.05.01.20086207)","medRxiv","2020-05-07"
"[The Public Mental Health While in a Community Quarantine Due to COVID-19 Pandemic: A Scoping Review of Literature Using Google Scholar](https://doi.org/10.20944/preprints202005.0050.v1)","Preprints.org","2020-05-08"
"[The Role of Temperature in COVID-19 Disease Severity and Transmission Rates](https://doi.org/10.20944/preprints202005.0070.v1)","Preprints.org","2020-05-08"
"[The Utility of rRT-PCR in Diagnosis and Assessment of Case-fatality rates of COVID-19 In the Iranian Population. Positive Test Results are a Marker for Illness Severity](https://doi.org/10.1101/2020.04.29.20085233)","medRxiv","2020-05-06"
"[The emerging COVID-19 research: dynamic and regularly updated science maps and analyses](https://doi.org/10.21203/rs.3.rs-26202/v1)","Research Square","2020-05-06"
"[The geography of COVID-19 spread in Italy and implications for the relaxation of confinement measures](https://doi.org/10.1101/2020.04.30.20083568)","medRxiv","2020-05-06"
"[The impact of believing you have had COVID-19 on behaviour: Cross-sectional survey](https://doi.org/10.1101/2020.04.30.20086223)","medRxiv","2020-05-07"
"[The role of telehealth during COVID-19 outbreak: A systematic review based on current evidence](https://doi.org/10.21203/rs.3.rs-23906/v1)","Research Square","2020-05-06"
"[Viable circulating endothelial cells and their progenitors are increased in Covid-19 patients](https://doi.org/10.1101/2020.04.29.20085878)","medRxiv","2020-05-07"
"[Vitamin D deficiency as risk factor for severe COVID-19: a convergence of two pandemics](https://doi.org/10.1101/2020.05.01.20079376)","medRxiv","2020-05-06"
"[Vitamin D status, body mass index, ethnicity and COVID-19: Initial analysis of the first-reported UK Biobank COVID-19 positive cases (n 580) compared with negative controls (n 723)](https://doi.org/10.1101/2020.04.29.20084277)","medRxiv","2020-05-06"
"[Warmer weather and global trends in the coronavirus COVID-19](https://doi.org/10.1101/2020.04.28.20084004)","medRxiv","2020-05-06"
"[Why Italy First? Health, Geographical and Planning aspects of the Covid-19 outbreak](https://doi.org/10.20944/preprints202005.0075.v1)","Preprints.org","2020-05-08"
"[Worldwide Effectiveness of Various Non-Pharmaceutical Intervention Control Strategies on the Global COVID-19 Pandemic: A Linearised Control Model](https://doi.org/10.1101/2020.04.30.20085316)","medRxiv","2020-05-07"
"[ai-corona: Radiologist-Assistant Deep Learning Framework for COVID-19 Diagnosis in Chest CT Scans](https://doi.org/10.1101/2020.05.04.20082081)","medRxiv","2020-05-06"
"[30-day mortality in patients hospitalized with COVID-19 during the first wave of the Italian epidemic: a prospective cohort study](https://doi.org/10.1101/2020.05.02.20088336)","medRxiv","2020-05-07"
"[A Network-Based Stochastic Epidemic Simulator: Controlling COVID-19 with Region-Specific Policies](https://doi.org/10.1101/2020.05.02.20089136)","medRxiv","2020-05-09"
"[A dataset for the perceived vulnerability to disease scale in Japan before the spread of COVID-19](https://doi.org/10.12688/f1000research.23713.1)","F1000Res","2020-05-07"
"[A mathematical model to investigate the transmission of COVID-19 in the Kingdom of Saudi Arabia](https://doi.org/10.1101/2020.05.02.20088617)","medRxiv","2020-05-07"
"[A note on COVID-19 seroprevalence studies: a meta-analysis using hierarchical modelling](https://doi.org/10.1101/2020.05.03.20089201)","medRxiv","2020-05-08"
"[A panel analysis on preventing and controlling efficiency of COVID-19 pandemic](https://doi.org/10.21203/rs.3.rs-26006/v1)","Research Square","2020-05-07"
"[A systematic review and meta-analysis of published research data on COVID-19 infection-fatality rates](https://doi.org/10.1101/2020.05.03.20089854)","medRxiv","2020-05-08"
"[Accounting for underreporting in mathematical modelling of transmission and control of COVID-19 in Iran](https://doi.org/10.1101/2020.05.02.20087270)","medRxiv","2020-05-07"
"[Analyzing the determinants of the spread of covid-19 among the provincial regions in China](https://doi.org/10.21203/rs.3.rs-26465/v1)","Research Square","2020-05-07"
"[Anxiety levels among Iranian health care workers during the COVID-19 surge: A cross-sectional study](https://doi.org/10.1101/2020.05.02.20089045)","medRxiv","2020-05-07"
"[Applying Lexical Link Analysis to Discover Insights from Public Information on COVID-19](https://doi.org/10.1101/2020.05.06.079798)","bioRxiv","2020-05-08"
"[Assessment of the prevention and control effects on the outbreak of COVID-19  in Hunan, China: Based on a SEIAR Dynamic Model](https://doi.org/10.21203/rs.3.rs-20731/v1)","Research Square","2020-05-07"
"[Association Between Ibuprofen Exposure and Severe COVID-19 Infection: A Nationwide Register-Based Study](https://doi.org/10.21203/rs.3.rs-26355/v1)","Research Square","2020-05-07"
"[Associations of stay-at-home order and face-masking recommendation with trends in daily new cases and deaths of laboratory-confirmed COVID-19 in the United States](https://doi.org/10.1101/2020.05.01.20088237)","medRxiv","2020-05-07"
"[Automatic Detection of COVID-19 Using X-ray Images with Deep Convolutional Neural Networks and Machine Learning](https://doi.org/10.1101/2020.05.01.20088211)","medRxiv","2020-05-07"
"[Bacteremia and Blood Culture Utilization During COVID-19 Surge in New York City](https://doi.org/10.1101/2020.05.05.20080044)","medRxiv","2020-05-07"
"[Benchmarking the CoVID-19 pandemic across countries and states in the U.S.A. under heterogeneous testing](https://doi.org/10.1101/2020.05.01.20087882)","medRxiv","2020-05-07"
"[Black, Asian and Minority Ethnic groups in England are at increased risk of death from COVID-19: indirect standardisation of NHS mortality data](https://doi.org/10.12688/wellcomeopenres.15922.1)","Wellcome Open Res","2020-05-07"
"[Buying time: an ecological survival analysis of COVID-19 spread based on the gravity model](https://doi.org/10.1101/2020.05.01.20087569)","medRxiv","2020-05-08"
"[COVID-19 AND PATIENTS UNDERGOING PHARMACOLOGICAL TREATMENTS FOR IMMUNE-MEDIATED INFLAMMATORY DISEASES: PROTOCOL FOR A RAPID LIVING SYSTEMATIC REVIEW](https://doi.org/10.1101/2020.05.01.20087494)","medRxiv","2020-05-07"
"[COVID-19 Outbreak Prediction with Machine Learning](https://doi.org/10.21203/rs.3.rs-27130/v1)","Research Square","2020-05-07"
"[COVID-19 Pandemic Prediction for Hungary; a Hybrid Machine Learning Approach](https://doi.org/10.1101/2020.05.02.20088427)","medRxiv","2020-05-07"
"[COVID-19 Pandemic Prediction for Hungary; a Hybrid Machine Learning Approach   ](https://doi.org/10.21203/rs.3.rs-27132/v1)","Research Square","2020-05-07"
"[COVID-19 Related Mortality: Is the BCG Vaccine Truly Effective?](https://doi.org/10.1101/2020.05.01.20087411)","medRxiv","2020-05-07"
"[COVID-19 Utilization and Resource Visualization Engine (CURVE) to Forecast In-Hospital Resources](https://doi.org/10.1101/2020.05.01.20087973)","medRxiv","2020-05-07"
"[COVID-19 in Children with Brain-Based Developmental Disabilities: A Rapid Review](https://doi.org/10.1101/2020.05.01.20088021)","medRxiv","2020-05-08"
"[COVID-19 in Elderly Patient: A Case Report](https://doi.org/10.21203/rs.3.rs-27253/v1)","Research Square","2020-05-07"
"[COVID-19 in Iran, a comprehensive investigation from exposure to treatment outcomes](https://doi.org/10.21203/rs.3.rs-26339/v1)","Research Square","2020-05-07"
"[COVID-19 pandemic exposes the vulnerability of the sharing economy](https://doi.org/10.21203/rs.3.rs-26460/v1)","Research Square","2020-05-07"
"[Cancer is associated with the severity and mortality of patients with COVID-19: a systematic review and meta-analysis](https://doi.org/10.1101/2020.05.01.20087031)","medRxiv","2020-05-07"
"[Clinical Characteristics and Cardiovascular Implications of 116 Hospitalized Patients with COVID-19 in Wuhan, China: A single-Centered, Retrospective, Observational Study](https://doi.org/10.21203/rs.3.rs-26358/v1)","Research Square","2020-05-07"
"[Clinical characteristics and fecal-oral transmission potential of patients with COVID-19](https://doi.org/10.1101/2020.05.02.20089094)","medRxiv","2020-05-08"
"[Clinical features and outcomes of pregnant women with COVID-19: a systematic review and meta-analysis](https://doi.org/10.21203/rs.3.rs-27148/v1)","Research Square","2020-05-07"
"[Clinical features, diagnostics, and outcomes of patients presenting with acute respiratory illness: a comparison of patients with and without COVID-19](https://doi.org/10.1101/2020.05.02.20082461)","medRxiv","2020-05-07"
"[Control dynamics of the COVID-19 pandemic in China and South Korea](https://doi.org/10.1101/2020.05.01.20087650)","medRxiv","2020-05-07"
"[Corona virus activates a stem cell mediated defense mechanism that accelerates activation of dormant tuberculosis: implications for the COVID-19 pandemic](https://doi.org/10.1101/2020.05.06.077883)","bioRxiv","2020-05-08"
"[Correlating Covid-19 mortality and infection levels](https://doi.org/10.1101/2020.05.01.20087320)","medRxiv","2020-05-07"
"[Covid-19 Situation in Bangladesh](https://doi.org/10.20944/preprints202005.0094.v1)","Preprints.org","2020-05-08"
"[Depression, Anxiety and Depression-anxiety comorbidity amid COVID-19 Pandemic: An online survey conducted during lockdown in Nepal](https://doi.org/10.1101/2020.04.30.20086926)","medRxiv","2020-05-07"
